,population,state,county
872,7707,Iowa,Monroe County
873,9917,Iowa,Montgomery County
874,42664,Iowa,Muscatine County
875,13753,Iowa,O'Brien County
876,5958,Iowa,Osceola County
877,15107,Iowa,Page County
878,8886,Iowa,Palo Alto County
879,25177,Iowa,Plymouth County
880,6619,Iowa,Pocahontas County
881,490161,Iowa,Polk County
882,93206,Iowa,Pottawattamie County
883,18504,Iowa,Poweshiek County
884,4894,Iowa,Ringgold County
885,9721,Iowa,Sac County
886,172943,Iowa,Scott County
887,11454,Iowa,Shelby County
888,34855,Iowa,Sioux County
889,97117,Iowa,Story County
890,16854,Iowa,Tama County
891,6121,Iowa,Taylor County
892,12241,Iowa,Union County
893,7044,Iowa,Van Buren County
894,34969,Iowa,Wapello County
895,51466,Iowa,Warren County
896,21965,Iowa,Washington County
897,6441,Iowa,Wayne County
898,35904,Iowa,Webster County
899,10354,Iowa,Winnebago County
900,19991,Iowa,Winneshiek County
901,103107,Iowa,Woodbury County
902,7381,Iowa,Worth County
903,12562,Iowa,Wright County
904,2913314,Kansas,Kansas
905,12369,Kansas,Allen County
906,7858,Kansas,Anderson County
907,16073,Kansas,Atchison County
908,4427,Kansas,Barber County
909,25779,Kansas,Barton County
910,14534,Kansas,Bourbon County
911,9564,Kansas,Brown County
912,66911,Kansas,Butler County
913,2648,Kansas,Chase County
914,3250,Kansas,Chautauqua County
915,19939,Kansas,Cherokee County
916,2657,Kansas,Cheyenne County
917,1994,Kansas,Clark County
918,8002,Kansas,Clay County
919,8786,Kansas,Cloud County
920,8179,Kansas,Coffey County
921,1700,Kansas,Comanche County
922,34908,Kansas,Cowley County
923,38818,Kansas,Crawford County
924,2827,Kansas,Decatur County
925,18466,Kansas,Dickinson County
926,7600,Kansas,Doniphan County
927,122259,Kansas,Douglas County
928,2798,Kansas,Edwards County
929,2530,Kansas,Elk County
930,28553,Kansas,Ellis County
931,6102,Kansas,Ellsworth County
932,36467,Kansas,Finney County
933,33619,Kansas,Ford County
934,25544,Kansas,Franklin County
935,31670,Kansas,Geary County
936,2636,Kansas,Gove County
937,2482,Kansas,Graham County
938,7150,Kansas,Grant County
939,5988,Kansas,Gray County
940,1232,Kansas,Greeley County
941,5982,Kansas,Greenwood County
942,2539,Kansas,Hamilton County
943,5436,Kansas,Harper County
944,34429,Kansas,Harvey County
945,3968,Kansas,Haskell County
946,1794,Kansas,Hodgeman County
947,13171,Kansas,Jackson County
948,19043,Kansas,Jefferson County
949,2879,Kansas,Jewell County
950,602401,Kansas,Johnson County
951,3838,Kansas,Kearny County
952,7152,Kansas,Kingman County
953,2475,Kansas,Kiowa County
954,19618,Kansas,Labette County
955,1535,Kansas,Lane County
956,81758,Kansas,Leavenworth County
957,2962,Kansas,Lincoln County
958,9703,Kansas,Linn County
959,2794,Kansas,Logan County
960,33195,Kansas,Lyon County
961,28542,Kansas,McPherson County
962,11884,Kansas,Marion County
963,9707,Kansas,Marshall County
964,4033,Kansas,Meade County
965,34237,Kansas,Miami County
966,5979,Kansas,Mitchell County
967,31829,Kansas,Montgomery County
968,5620,Kansas,Morris County
969,2587,Kansas,Morton County
970,10231,Kansas,Nemaha County
971,16007,Kansas,Neosho County
972,2750,Kansas,Ness County
973,5361,Kansas,Norton County
974,15949,Kansas,Osage County
975,3421,Kansas,Osborne County
976,5704,Kansas,Ottawa County
977,6414,Kansas,Pawnee County
978,5234,Kansas,Phillips County
979,24383,Kansas,Pottawatomie County
980,9164,Kansas,Pratt County
981,2530,Kansas,Rawlins County
982,61998,Kansas,Reno County
983,4636,Kansas,Republic County
984,9537,Kansas,Rice County
985,74232,Kansas,Riley County
986,4920,Kansas,Rooks County
987,3036,Kansas,Rush County
988,6856,Kansas,Russell County
989,54224,Kansas,Saline County
990,4823,Kansas,Scott County
991,516042,Kansas,Sedgwick County
992,21428,Kansas,Seward County
993,176875,Kansas,Shawnee County
994,2521,Kansas,Sheridan County
995,5917,Kansas,Sherman County
996,3583,Kansas,Smith County
997,4156,Kansas,Stafford County
998,2006,Kansas,Stanton County
999,5485,Kansas,Stevens County
1000,22836,Kansas,Sumner County
1001,7777,Kansas,Thomas County
1002,2803,Kansas,Trego County
1003,6931,Kansas,Wabaunsee County
1004,1518,Kansas,Wallace County
1005,5406,Kansas,Washington County
1006,2119,Kansas,Wichita County
1007,8525,Kansas,Wilson County
1008,3138,Kansas,Woodson County
1009,165429,Kansas,Wyandotte County
1010,4467673,Kentucky,Kentucky
1011,19202,Kentucky,Adair County
1012,21315,Kentucky,Allen County
1013,22747,Kentucky,Anderson County
1014,7888,Kentucky,Ballard County
1015,44249,Kentucky,Barren County
1016,12500,Kentucky,Bath County
1017,26032,Kentucky,Bell County
1018,133581,Kentucky,Boone County
1019,19788,Kentucky,Bourbon County
1020,46718,Kentucky,Boyd County
1021,30060,Kentucky,Boyle County
1022,8303,Kentucky,Bracken County
1023,12630,Kentucky,Breathitt County
1024,20477,Kentucky,Breckinridge County
1025,81676,Kentucky,Bullitt County
1026,12879,Kentucky,Butler County
1027,12747,Kentucky,Caldwell County
1028,39001,Kentucky,Calloway County
1029,93584,Kentucky,Campbell County
1030,4760,Kentucky,Carlisle County
1031,10631,Kentucky,Carroll County
1032,26797,Kentucky,Carter County
1033,16159,Kentucky,Casey County
1034,70461,Kentucky,Christian County
1035,36263,Kentucky,Clark County
1036,19901,Kentucky,Clay County
1037,10218,Kentucky,Clinton County
1038,8806,Kentucky,Crittenden County
1039,6614,Kentucky,Cumberland County
1040,101511,Kentucky,Daviess County
1041,12150,Kentucky,Edmonson County
1042,7517,Kentucky,Elliott County
1043,14106,Kentucky,Estill County
1044,323152,Kentucky,Fayette County
1045,14581,Kentucky,Fleming County
1046,35589,Kentucky,Floyd County
1047,50991,Kentucky,Franklin County
1048,5969,Kentucky,Fulton County
1049,8869,Kentucky,Gallatin County
1050,17666,Kentucky,Garrard County
1051,25069,Kentucky,Grant County
1052,37266,Kentucky,Graves County
1053,26427,Kentucky,Grayson County
1054,10941,Kentucky,Green County
1055,35098,Kentucky,Greenup County
1056,8722,Kentucky,Hancock County
1057,110958,Kentucky,Hardin County
1058,26010,Kentucky,Harlan County
1059,18886,Kentucky,Harrison County
1060,19035,Kentucky,Hart County
1061,45210,Kentucky,Henderson County
1062,16126,Kentucky,Henry County
1063,4380,Kentucky,Hickman County
1064,44686,Kentucky,Hopkins County
1065,13329,Kentucky,Jackson County
1066,766757,Kentucky,Jefferson County
1067,54115,Kentucky,Jessamine County
1068,22188,Kentucky,Johnson County
1069,166998,Kentucky,Kenton County
1070,14806,Kentucky,Knott County
1071,31145,Kentucky,Knox County
1072,14398,Kentucky,Larue County
1073,60813,Kentucky,Laurel County
1074,15317,Kentucky,Lawrence County
1075,7403,Kentucky,Lee County
1076,9877,Kentucky,Leslie County
1077,21553,Kentucky,Letcher County
1078,13275,Kentucky,Lewis County
1079,24549,Kentucky,Lincoln County
1080,9194,Kentucky,Livingston County
1081,27102,Kentucky,Logan County
1082,8210,Kentucky,Lyon County
1083,65418,Kentucky,McCracken County
1084,17231,Kentucky,McCreary County
1085,9207,Kentucky,McLean County
1086,92987,Kentucky,Madison County
1087,12161,Kentucky,Magoffin County
1088,19273,Kentucky,Marion County
1089,31100,Kentucky,Marshall County
1090,11195,Kentucky,Martin County
1091,17070,Kentucky,Mason County
1092,28572,Kentucky,Meade County
1093,6489,Kentucky,Menifee County
1094,21933,Kentucky,Mercer County
1095,10071,Kentucky,Metcalfe County
1096,10650,Kentucky,Monroe County
1097,28157,Kentucky,Montgomery County
1098,13309,Kentucky,Morgan County
1099,30622,Kentucky,Muhlenberg County
1100,46233,Kentucky,Nelson County
1101,7269,Kentucky,Nicholas County
1102,23994,Kentucky,Ohio County
1103,66799,Kentucky,Oldham County
1104,10901,Kentucky,Owen County
1105,4415,Kentucky,Owsley County
1106,14590,Kentucky,Pendleton County
1107,25758,Kentucky,Perry County
1108,57876,Kentucky,Pike County
1109,12359,Kentucky,Powell County
1110,64979,Kentucky,Pulaski County
1111,2108,Kentucky,Robertson County
1112,16695,Kentucky,Rockcastle County
1113,24460,Kentucky,Rowan County
1114,17923,Kentucky,Russell County
1115,57004,Kentucky,Scott County
1116,49024,Kentucky,Shelby County
1117,18572,Kentucky,Simpson County
1118,19351,Kentucky,Spencer County
1119,25769,Kentucky,Taylor County
1120,12294,Kentucky,Todd County
1121,14651,Kentucky,Trigg County
1122,8471,Kentucky,Trimble County
1123,14381,Kentucky,Union County
1124,132896,Kentucky,Warren County
1125,12095,Kentucky,Washington County
1126,20333,Kentucky,Wayne County
1127,12942,Kentucky,Webster County
1128,36264,Kentucky,Whitley County
1129,7157,Kentucky,Wolfe County
1130,26734,Kentucky,Woodford County
1131,4648794,Louisiana,Louisiana
1132,62045,Louisiana,Acadia Parish
1133,25627,Louisiana,Allen Parish
1134,126604,Louisiana,Ascension Parish
1135,21891,Louisiana,Assumption Parish
1136,40144,Louisiana,Avoyelles Parish
1137,37497,Louisiana,Beauregard Parish
1138,13241,Louisiana,Bienville Parish
1139,127039,Louisiana,Bossier Parish
1140,240204,Louisiana,Caddo Parish
1141,203436,Louisiana,Calcasieu Parish
1142,9918,Louisiana,Caldwell Parish
1143,6973,Louisiana,Cameron Parish
1144,9494,Louisiana,Catahoula Parish
1145,15670,Louisiana,Claiborne Parish
1146,19259,Louisiana,Concordia Parish
1147,27463,Louisiana,De Soto Parish
1148,440059,Louisiana,East Baton Rouge Parish
1149,6861,Louisiana,East Carroll Parish
1150,19135,Louisiana,East Feliciana Parish
1151,33395,Louisiana,Evangeline Parish
1152,20015,Louisiana,Franklin Parish
1153,22389,Louisiana,Grant Parish
1154,69830,Louisiana,Iberia Parish
1155,32511,Louisiana,Iberville Parish
1156,15744,Louisiana,Jackson Parish
1157,432493,Louisiana,Jefferson Parish
1158,31368,Louisiana,Jefferson Davis Parish
1159,244390,Louisiana,Lafayette Parish
1160,97614,Louisiana,Lafourche Parish
1161,14892,Louisiana,LaSalle Parish
1162,46742,Louisiana,Lincoln Parish
1163,140789,Louisiana,Livingston Parish
1164,10951,Louisiana,Madison Parish
1165,24874,Louisiana,Morehouse Parish
1166,38158,Louisiana,Natchitoches Parish
1167,390144,Louisiana,Orleans Parish
1168,153279,Louisiana,Ouachita Parish
1169,23197,Louisiana,Plaquemines Parish
1170,21730,Louisiana,Pointe Coupee Parish
1171,129648,Louisiana,Rapides Parish
1172,8442,Louisiana,Red River Parish
1173,20122,Louisiana,Richland Parish
1174,23884,Louisiana,Sabine Parish
1175,47244,Louisiana,St. Bernard Parish
1176,53100,Louisiana,St. Charles Parish
1177,10132,Louisiana,St. Helena Parish
1178,21096,Louisiana,St. James Parish
1179,42837,Louisiana,St. John the Baptist Parish
1180,82124,Louisiana,St. Landry Parish
1181,53431,Louisiana,St. Martin Parish
1182,49348,Louisiana,St. Mary Parish
1183,260419,Louisiana,St. Tammany Parish
1184,134758,Louisiana,Tangipahoa Parish
1185,4334,Louisiana,Tensas Parish
1186,110461,Louisiana,Terrebonne Parish
1187,22108,Louisiana,Union Parish
1188,59511,Louisiana,Vermilion Parish
1189,47429,Louisiana,Vernon Parish
1190,46194,Louisiana,Washington Parish
1191,38340,Louisiana,Webster Parish
1192,26465,Louisiana,West Baton Rouge Parish
1193,10830,Louisiana,West Carroll Parish
1194,15568,Louisiana,West Feliciana Parish
1195,13904,Louisiana,Winn Parish
1196,1344212,Maine,Maine
1197,108277,Maine,Androscoggin County
1198,67055,Maine,Aroostook County
1199,295003,Maine,Cumberland County
1200,30199,Maine,Franklin County
1201,54987,Maine,Hancock County
1202,122302,Maine,Kennebec County
1203,39772,Maine,Knox County
1204,34634,Maine,Lincoln County
1205,57975,Maine,Oxford County
1206,152148,Maine,Penobscot County
1207,16785,Maine,Piscataquis County
1208,35856,Maine,Sagadahoc County
1209,50484,Maine,Somerset County
1210,39715,Maine,Waldo County
1211,31379,Maine,Washington County
1212,207641,Maine,York County
1213,6045680,Maryland,Maryland
1214,70416,Maryland,Allegany County
1215,579234,Maryland,Anne Arundel County
1216,827370,Maryland,Baltimore County
1217,92525,Maryland,Calvert County
1218,33406,Maryland,Caroline County
1219,168447,Maryland,Carroll County
1220,102855,Maryland,Cecil County
1221,163257,Maryland,Charles County
1222,31929,Maryland,Dorchester County
1223,259547,Maryland,Frederick County
1224,29014,Maryland,Garrett County
1225,255441,Maryland,Harford County
1226,325690,Maryland,Howard County
1227,19422,Maryland,Kent County
1228,1050688,Maryland,Montgomery County
1229,909327,Maryland,Prince George's County
1230,50381,Maryland,Queen Anne's County
1231,113510,Maryland,St. Mary's County
1232,25616,Maryland,Somerset County
1233,37181,Maryland,Talbot County
1234,151049,Maryland,Washington County
1235,103609,Maryland,Wicomico County
1236,52276,Maryland,Worcester County
1237,593490,Maryland,Baltimore city
1238,6892503,Massachusetts,Massachusetts
1239,212990,Massachusetts,Barnstable County
1240,124944,Massachusetts,Berkshire County
1241,565217,Massachusetts,Bristol County
1242,17332,Massachusetts,Dukes County
1243,789034,Massachusetts,Essex County
1244,70180,Massachusetts,Franklin County
1245,466372,Massachusetts,Hampden County
1246,160830,Massachusetts,Hampshire County
1247,1611699,Massachusetts,Middlesex County
1248,11399,Massachusetts,Nantucket County
1249,706775,Massachusetts,Norfolk County
1250,521202,Massachusetts,Plymouth County
1251,803907,Massachusetts,Suffolk County
1252,830622,Massachusetts,Worcester County
1253,9986857,Michigan,Michigan
1254,10405,Michigan,Alcona County
1255,9108,Michigan,Alger County
1256,118081,Michigan,Allegan County
1257,28405,Michigan,Alpena County
1258,23324,Michigan,Antrim County
1259,14883,Michigan,Arenac County
1260,8209,Michigan,Baraga County
1261,61550,Michigan,Barry County
1262,103126,Michigan,Bay County
1263,17766,Michigan,Benzie County
1264,153401,Michigan,Berrien County
1265,43517,Michigan,Branch County
1266,134159,Michigan,Calhoun County
1267,51787,Michigan,Cass County
1268,26143,Michigan,Charlevoix County
1269,25276,Michigan,Cheboygan County
1270,37349,Michigan,Chippewa County
1271,30950,Michigan,Clare County
1272,79595,Michigan,Clinton County
1273,14029,Michigan,Crawford County
1274,35784,Michigan,Delta County
1275,25239,Michigan,Dickinson County
1276,110268,Michigan,Eaton County
1277,33415,Michigan,Emmet County
1278,405813,Michigan,Genesee County
1279,25449,Michigan,Gladwin County
1280,13975,Michigan,Gogebic County
1281,93088,Michigan,Grand Traverse County
1282,40711,Michigan,Gratiot County
1283,45605,Michigan,Hillsdale County
1284,35684,Michigan,Houghton County
1285,30981,Michigan,Huron County
1286,292406,Michigan,Ingham County
1287,64697,Michigan,Ionia County
1288,25127,Michigan,Iosco County
1289,11066,Michigan,Iron County
1290,69872,Michigan,Isabella County
1291,158510,Michigan,Jackson County
1292,265066,Michigan,Kalamazoo County
1293,18038,Michigan,Kalkaska County
1294,656955,Michigan,Kent County
1295,2116,Michigan,Keweenaw County
1296,11853,Michigan,Lake County
1297,87607,Michigan,Lapeer County
1298,21761,Michigan,Leelanau County
1299,98451,Michigan,Lenawee County
1300,191995,Michigan,Livingston County
1301,6229,Michigan,Luce County
1302,10799,Michigan,Mackinac County
1303,873972,Michigan,Macomb County
1304,24558,Michigan,Manistee County
1305,66699,Michigan,Marquette County
1306,29144,Michigan,Mason County
1307,43453,Michigan,Mecosta County
1308,22780,Michigan,Menominee County
1309,83156,Michigan,Midland County
1310,15118,Michigan,Missaukee County
1311,150500,Michigan,Monroe County
1312,63888,Michigan,Montcalm County
1313,9328,Michigan,Montmorency County
1314,173566,Michigan,Muskegon County
1315,48980,Michigan,Newaygo County
1316,1257584,Michigan,Oakland County
1317,26467,Michigan,Oceana County
1318,20997,Michigan,Ogemaw County
1319,5720,Michigan,Ontonagon County
1320,23460,Michigan,Osceola County
1321,8241,Michigan,Oscoda County
1322,24668,Michigan,Otsego County
1323,291830,Michigan,Ottawa County
1324,12592,Michigan,Presque Isle County
1325,24019,Michigan,Roscommon County
1326,190539,Michigan,Saginaw County
1327,159128,Michigan,St. Clair County
1328,60964,Michigan,St. Joseph County
1329,41170,Michigan,Sanilac County
1330,8094,Michigan,Schoolcraft County
1331,68122,Michigan,Shiawassee County
1332,52245,Michigan,Tuscola County
1333,75677,Michigan,Van Buren County
1334,367601,Michigan,Washtenaw County
1335,1749343,Michigan,Wayne County
1336,33631,Michigan,Wexford County
1337,5639632,Minnesota,Minnesota
1338,15886,Minnesota,Aitkin County
1339,356921,Minnesota,Anoka County
1340,34423,Minnesota,Becker County
1341,47188,Minnesota,Beltrami County
1342,40889,Minnesota,Benton County
1343,4991,Minnesota,Big Stone County
1344,67653,Minnesota,Blue Earth County
1345,25008,Minnesota,Brown County
1346,35871,Minnesota,Carlton County
1347,105089,Minnesota,Carver County
1348,29779,Minnesota,Cass County
1349,11800,Minnesota,Chippewa County
1350,56579,Minnesota,Chisago County
1351,64222,Minnesota,Clay County
1352,8818,Minnesota,Clearwater County
1353,5463,Minnesota,Cook County
1354,11196,Minnesota,Cottonwood County
1355,65055,Minnesota,Crow Wing County
1356,429021,Minnesota,Dakota County
1357,20934,Minnesota,Dodge County
1358,38141,Minnesota,Douglas County
1359,13653,Minnesota,Faribault County
1360,21067,Minnesota,Fillmore County
1361,30281,Minnesota,Freeborn County
1362,46340,Minnesota,Goodhue County
1363,5972,Minnesota,Grant County
1364,1265843,Minnesota,Hennepin County
1365,18600,Minnesota,Houston County
1366,21491,Minnesota,Hubbard County
1367,40596,Minnesota,Isanti County
1368,45130,Minnesota,Itasca County
1369,9846,Minnesota,Jackson County
1370,16337,Minnesota,Kanabec County
1371,43199,Minnesota,Kandiyohi County
1372,4298,Minnesota,Kittson County
1373,12229,Minnesota,Koochiching County
1374,6623,Minnesota,Lac qui Parle County
1375,10641,Minnesota,Lake County
1376,3740,Minnesota,Lake of the Woods County
1377,28887,Minnesota,Le Sueur County
1378,5639,Minnesota,Lincoln County
1379,25474,Minnesota,Lyon County
1380,35893,Minnesota,McLeod County
1381,5527,Minnesota,Mahnomen County
1382,9336,Minnesota,Marshall County
1383,19683,Minnesota,Martin County
1384,23222,Minnesota,Meeker County
1385,26277,Minnesota,Mille Lacs County
1386,33386,Minnesota,Morrison County
1387,40062,Minnesota,Mower County
1388,8194,Minnesota,Murray County
1389,34274,Minnesota,Nicollet County
1390,21629,Minnesota,Nobles County
1391,6375,Minnesota,Norman County
1392,158293,Minnesota,Olmsted County
1393,58746,Minnesota,Otter Tail County
1394,14119,Minnesota,Pennington County
1395,29579,Minnesota,Pine County
1396,9126,Minnesota,Pipestone County
1397,31364,Minnesota,Polk County
1398,11249,Minnesota,Pope County
1399,550321,Minnesota,Ramsey County
1400,4055,Minnesota,Red Lake County
1401,15170,Minnesota,Redwood County
1402,14548,Minnesota,Renville County
1403,66972,Minnesota,Rice County
1404,9315,Minnesota,Rock County
1405,15165,Minnesota,Roseau County
1406,199070,Minnesota,St. Louis County
1407,149013,Minnesota,Scott County
1408,97238,Minnesota,Sherburne County
1409,14865,Minnesota,Sibley County
1410,161075,Minnesota,Stearns County
1411,36649,Minnesota,Steele County
1412,9805,Minnesota,Stevens County
1413,9266,Minnesota,Swift County
1414,24664,Minnesota,Todd County
1415,3259,Minnesota,Traverse County
1416,21627,Minnesota,Wabasha County
1417,13682,Minnesota,Wadena County
1418,18612,Minnesota,Waseca County
1419,262440,Minnesota,Washington County
1420,10897,Minnesota,Watonwan County
1421,6207,Minnesota,Wilkin County
1422,50484,Minnesota,Winona County
1423,138377,Minnesota,Wright County
1424,9709,Minnesota,Yellow Medicine County
1425,2976149,Mississippi,Mississippi
1426,30693,Mississippi,Adams County
1427,36953,Mississippi,Alcorn County
1428,12297,Mississippi,Amite County
1429,18174,Mississippi,Attala County
1430,8259,Mississippi,Benton County
1431,30628,Mississippi,Bolivar County
1432,14361,Mississippi,Calhoun County
1433,9947,Mississippi,Carroll County
1434,17103,Mississippi,Chickasaw County
1435,8210,Mississippi,Choctaw County
1436,8988,Mississippi,Claiborne County
1437,15541,Mississippi,Clarke County
1438,19316,Mississippi,Clay County
1439,22124,Mississippi,Coahoma County
1440,28065,Mississippi,Copiah County
1441,18636,Mississippi,Covington County
1442,184945,Mississippi,DeSoto County
1443,74897,Mississippi,Forrest County
1444,7713,Mississippi,Franklin County
1445,24500,Mississippi,George County
1446,13586,Mississippi,Greene County
1447,20758,Mississippi,Grenada County
1448,47632,Mississippi,Hancock County
1449,208080,Mississippi,Harrison County
1450,231840,Mississippi,Hinds County
1451,17010,Mississippi,Holmes County
1452,8064,Mississippi,Humphreys County
1453,1327,Mississippi,Issaquena County
1454,23390,Mississippi,Itawamba County
1455,143617,Mississippi,Jackson County
1456,16383,Mississippi,Jasper County
1457,6990,Mississippi,Jefferson County
1458,11128,Mississippi,Jefferson Davis County
1459,68098,Mississippi,Jones County
1460,9742,Mississippi,Kemper County
1461,54019,Mississippi,Lafayette County
1462,63343,Mississippi,Lamar County
1463,74125,Mississippi,Lauderdale County
1464,12586,Mississippi,Lawrence County
1465,22786,Mississippi,Leake County
1466,85436,Mississippi,Lee County
1467,28183,Mississippi,Leflore County
1468,34153,Mississippi,Lincoln County
1469,58595,Mississippi,Lowndes County
1470,106272,Mississippi,Madison County
1471,24573,Mississippi,Marion County
1472,35294,Mississippi,Marshall County
1473,35252,Mississippi,Monroe County
1474,9775,Mississippi,Montgomery County
1475,29118,Mississippi,Neshoba County
1476,21018,Mississippi,Newton County
1477,10417,Mississippi,Noxubee County
1478,49587,Mississippi,Oktibbeha County
1479,34192,Mississippi,Panola County
1480,55535,Mississippi,Pearl River County
1481,11973,Mississippi,Perry County
1482,39288,Mississippi,Pike County
1483,32174,Mississippi,Pontotoc County
1484,25126,Mississippi,Prentiss County
1485,6792,Mississippi,Quitman County
1486,155271,Mississippi,Rankin County
1487,28124,Mississippi,Scott County
1488,4321,Mississippi,Sharkey County
1489,26658,Mississippi,Simpson County
1490,15916,Mississippi,Smith County
1491,18336,Mississippi,Stone County
1492,25110,Mississippi,Sunflower County
1493,13809,Mississippi,Tallahatchie County
1494,28321,Mississippi,Tate County
1495,22015,Mississippi,Tippah County
1496,19383,Mississippi,Tishomingo County
1497,9632,Mississippi,Tunica County
1498,28815,Mississippi,Union County
1499,14286,Mississippi,Walthall County
1500,45381,Mississippi,Warren County
1501,43909,Mississippi,Washington County
1502,20183,Mississippi,Wayne County
1503,9689,Mississippi,Webster County
1504,8630,Mississippi,Wilkinson County
1505,17955,Mississippi,Winston County
1506,12108,Mississippi,Yalobusha County
1507,29690,Mississippi,Yazoo County
1508,6137428,Missouri,Missouri
1509,25343,Missouri,Adair County
1510,17712,Missouri,Andrew County
1511,5143,Missouri,Atchison County
1512,25388,Missouri,Audrain County
1513,35789,Missouri,Barry County
1514,11754,Missouri,Barton County
1515,16172,Missouri,Bates County
1516,19443,Missouri,Benton County
1517,12133,Missouri,Bollinger County
1518,180463,Missouri,Boone County
1519,87364,Missouri,Buchanan County
1520,42478,Missouri,Butler County
1521,9020,Missouri,Caldwell County
1522,44743,Missouri,Callaway County
1523,46305,Missouri,Camden County
1524,78871,Missouri,Cape Girardeau County
1525,8679,Missouri,Carroll County
1526,5982,Missouri,Carter County
1527,105780,Missouri,Cass County
1528,14349,Missouri,Cedar County
1529,7426,Missouri,Chariton County
1530,88595,Missouri,Christian County
1531,6797,Missouri,Clark County
1532,249948,Missouri,Clay County
1533,20387,Missouri,Clinton County
1534,76745,Missouri,Cole County
1535,17709,Missouri,Cooper County
1536,23920,Missouri,Crawford County
1537,7561,Missouri,Dade County
1538,16878,Missouri,Dallas County
1539,8278,Missouri,Daviess County
1540,12547,Missouri,DeKalb County
1541,15573,Missouri,Dent County
1542,13185,Missouri,Douglas County
1543,29131,Missouri,Dunklin County
1544,103967,Missouri,Franklin County
1545,14706,Missouri,Gasconade County
1546,6571,Missouri,Gentry County
1547,293086,Missouri,Greene County
1548,9850,Missouri,Grundy County
1549,8352,Missouri,Harrison County
1550,21824,Missouri,Henry County
1551,9544,Missouri,Hickory County
1552,4403,Missouri,Holt County
1553,10001,Missouri,Howard County
1554,40117,Missouri,Howell County
1555,10125,Missouri,Iron County
1556,703011,Missouri,Jackson County
1557,121328,Missouri,Jasper County
1558,225081,Missouri,Jefferson County
1559,54062,Missouri,Johnson County
1560,3959,Missouri,Knox County
1561,35723,Missouri,Laclede County
1562,32708,Missouri,Lafayette County
